resin_product_id,manufacturer,name,model_number,resin_type,primary_type,group,teir,chemical_structure,physical_structure,color,total_capacity,salt_split_CAP,price_per_cuft,comments
146,Purolite,Purolite,C115,N/A,WAC,N/A,"Teir 1",Acrylic,Macroreticular,N/A,76.4,N/A,01.48,"Dealkalization & Temporary Hardness Removal"
147,Purolite,Purolite,C115E,N/A,WAC,N/A,"Teir 1",Acrylic,Macroreticular,N/A,76.4,N/A,01.49,"Pharmaceutical Applications"
148,Purolite,Purolite,C115EC,N/A,WAC,N/A,"Teir 1",Acrylic,Macroreticular,N/A,76.4,N/A,01.50,"Dealkalization & Temporary Hardness Removal Including Carix Process"
149,Purolite,Purofine,PFA847,N/A,WBA,N/A,"Teir 1",Acrylic,Gel,N/A,34.9,N/A,01.51,"Water Treatment - Low Rinse Volumes and High Purity - Uniform Particle Size"
150,Purolite,Purolite,A172/4635,N/A,WBA,N/A,"Teir 1",Acrylic,Gel,N/A,26.2,N/A,01.52,"Hydrometallurgy - Rhenium Removal"
151,Purolite,Purolite,A845,N/A,WBA,N/A,"Teir 1",Acrylic,Gel,N/A,34.9,N/A,01.53,"Demineralization of Water High in Organic Matter - High Capacity"
152,Purolite,Purolite,A845DL,N/A,WBA,N/A,"Teir 1",Acrylic,Gel,N/A,34.9,N/A,01.54,"Demineralization of Water High in Organic Matter - Layered Beds"
153,Purolite,Purolite,A847,N/A,WBA,N/A,"Teir 1",Acrylic,Gel,N/A,34.9,N/A,01.55,"Water Treatment - Low Rinse Volumes and High Purity"
154,Purolite,Purolite,A847C,N/A,WBA,N/A,"Teir 1",Acrylic,Gel,N/A,34.9,N/A,01.56,"Water Treatment - Low Rinse Volumes; High Purity; High Flow Rate"
155,Purolite,Purolite,A847DL,N/A,WBA,N/A,"Teir 1",Acrylic,Gel,N/A,34.9,N/A,01.57,"Water Treatment - Low Rinse Volumes and High Purity - Layered Beds"
156,Purolite,Purolite,A847S,N/A,WBA,N/A,"Teir 1",Acrylic,Gel,N/A,34.9,N/A,01.58,"Sugar Treatment - Low Rinse Volumes and High Purity"
157,Dow,Dowex,"MARATHON 11",1,SBA,N/A,"Teir 1",N/A,Gel,N/A,28.4,N/A,$00.85,"DOWEX MARATHON 11 is a uniform particle size anion resin design for industrial demineralization with highly organically fouling waters. It provides an excellent balance of capacity, strength, silica removal, and organic fouling resistance."
158,Dow,Amberlite,IRA94,N/A,WBA,N/A,"Teir 1 ",Styrenic,Gel,N/A,34.9,N/A,170.00,"Macroporous Polystrene Crosslinked with Divinylbenzene "
159,Dow,"Marathon C","DOWEX™ MARATHON C",N/A,SAC,N/A,"Teir 1",Styrenic,Gel,N/A,48,N/A,$01.30,"DOWEX MARATHON C is a premium, uniform particle size strong acid cation resin supplied in the sodium (Na+) form. It is designed to deliver superior performance in industrial softening systems. It is especially well suited for packed bed systems."
160,Dow,Dowex,"MARATHON A (OH)",N/A,SBA,N/A,"Teir 1",N/A,Gel,N/A,N/A,N/A,$00.87,"DOWEX MARATHON A (OH) is a premium uniform particle size anion resin supplied in the regenerated form. It is designed for polishing of industrial water in mixed beds."
161,Dow,"Marathon C","DOWEX™ MARATHON C",N/A,SAC,N/A,"Teir 1",Styrenic,Gel,Amber,43.7,N/A,$01.00,"Softening and Demineralization"
